"","EVENT_TYPE","n","year"
"1084","Blizzard",761,2018
"1085","Coastal Flood",321,2018
"1086","Cold/Wind Chill",582,2018
"1087","Debris Flow",136,2018
"1088","Dense Fog",754,2018
"1089","Dense Smoke",45,2018
"1090","Drought",2417,2018
"1091","Dust Devil",8,2018
"1092","Dust Storm",114,2018
"1093","Excessive Heat",668,2018
"1094","Extreme Cold/Wind Chill",590,2018
"1095","Flash Flood",4378,2018
"1096","Flood",4824,2018
"1097","Freezing Fog",18,2018
"1098","Frost/Freeze",710,2018
"1099","Funnel Cloud",349,2018
"1100","Hail",7863,2018
"1101","Heat",1374,2018
"1102","Heavy Rain",1924,2018
"1103","Heavy Snow",2289,2018
"1104","High Surf",540,2018
"1105","High Wind",2972,2018
"1106","Hurricane",61,2018
"1107","Ice Storm",172,2018
"1108","Lake-Effect Snow",56,2018
"1109","Lakeshore Flood",10,2018
"1110","Lightning",396,2018
"1111","Marine Hail",24,2018
"1112","Marine High Wind",26,2018
"1113","Marine Hurricane/Typhoon",6,2018
"1114","Marine Strong Wind",9,2018
"1115","Marine Thunderstorm Wind",2090,2018
"1116","Marine Tropical Depression",5,2018
"1117","Marine Tropical Storm",42,2018
"1118","Rip Current",84,2018
"1119","Seiche",2,2018
"1120","Sleet",8,2018
"1121","Sneakerwave",2,2018
"1122","Storm Surge/Tide",26,2018
"1123","Strong Wind",1025,2018
"1124","Thunderstorm Wind",14620,2018
"1125","Tornado",1254,2018
"1126","Tropical Depression",37,2018
"1127","Tropical Storm",317,2018
"1128","Volcanic Ashfall",65,2018
"1129","Waterspout",203,2018
"1130","Wildfire",417,2018
"1131","Winter Storm",3468,2018
"1132","Winter Weather",4570,2018
"1133","Astronomical Low Tide",16,2019
"1134","Avalanche",44,2019
"1135","Blizzard",852,2019
"1136","Coastal Flood",240,2019
"1137","Cold/Wind Chill",470,2019
"1138","Debris Flow",185,2019
"1139","Dense Fog",652,2019
"1140","Dense Smoke",2,2019
"1141","Drought",1007,2019
"1142","Dust Devil",8,2019
"1143","Dust Storm",40,2019
"1144","Excessive Heat",852,2019
"1145","Extreme Cold/Wind Chill",1065,2019
"1146","Flash Flood",4072,2019
"1147","Flood",4949,2019
"1148","Freezing Fog",6,2019
"1149","Frost/Freeze",654,2019
"1150","Funnel Cloud",348,2019
"1151","Hail",9013,2019
"1152","Heat",1294,2019
"1153","Heavy Rain",1441,2019
"1154","Heavy Snow",2872,2019
"1155","High Surf",468,2019
"1156","High Wind",3784,2019
"1157","Hurricane",10,2019
"1158","Ice Storm",200,2019
"1159","Lake-Effect Snow",78,2019
"1160","Lakeshore Flood",146,2019
"1161","Lightning",343,2019
"1162","Marine Hail",32,2019
"1163","Marine High Wind",77,2019
"1164","Marine Hurricane/Typhoon",6,2019
"1165","Marine Strong Wind",17,2019
"1166","Marine Thunderstorm Wind",2502,2019
"1167","Marine Tropical Depression",4,2019
"1168","Marine Tropical Storm",37,2019
"1169","Rip Current",74,2019
"1170","Seiche",4,2019
"1171","Sleet",1,2019
"1172","Sneakerwave",3,2019
"1173","Storm Surge/Tide",25,2019
"1174","Strong Wind",1591,2019
"1175","Thunderstorm Wind",18617,2019
"1176","Tornado",1728,2019
"1177","Tropical Depression",26,2019
"1178","Tropical Storm",143,2019
"1179","Volcanic Ashfall",1,2019
"1180","Waterspout",183,2019
"1181","Wildfire",180,2019
"1182","Winter Storm",3336,2019
"1183","Winter Weather",3808,2019
"1184","Astronomical Low Tide",1,2020
"1185","Avalanche",16,2020
"1186","Blizzard",292,2020
"1187","Coastal Flood",26,2020
"1188","Cold/Wind Chill",105,2020
"1189","Debris Flow",29,2020
"1190","Dense Fog",446,2020
"1191","Drought",301,2020
"1192","Dust Devil",2,2020
"1193","Dust Storm",6,2020
"1194","Excessive Heat",8,2020
"1195","Extreme Cold/Wind Chill",206,2020
"1196","Flash Flood",862,2020
"1197","Flood",1049,2020
"1198","Freezing Fog",3,2020
"1199","Frost/Freeze",224,2020
"1200","Funnel Cloud",40,2020
"1201","Hail",2130,2020
"1202","Heat",2,2020
"1203","Heavy Rain",195,2020
"1204","Heavy Snow",870,2020
"1205","High Surf",219,2020
"1206","High Wind",1328,2020
"1207","Ice Storm",51,2020
"1208","Lake-Effect Snow",45,2020
"1209","Lakeshore Flood",67,2020
"1210","Lightning",33,2020
"1211","Marine Hail",9,2020
"1212","Marine High Wind",29,2020
"1213","Marine Strong Wind",2,2020
"1214","Marine Thunderstorm Wind",611,2020
"1215","Rip Current",3,2020
"1216","Sleet",7,2020
"1217","Strong Wind",656,2020
"1218","Thunderstorm Wind",4501,2020
"1219","Tornado",549,2020
"1220","Waterspout",11,2020
"1221","Wildfire",25,2020
"1222","Winter Storm",1127,2020
"1223","Winter Weather",1828,2020
